model,epoch,train_loss,elapsed_s,seed,val_ihm_auc_roc,val_ihm_auc_pr,val_decomp_auc_roc,val_decomp_auc_pr,val_pheno_macro_auc,val_pheno_micro_auc
centralized_oracle,1,1.8658513038054756,9.39084648102289,42,0.834771558944146,0.6718949249402036,0.8821557424899276,0.7279557186671681,0.5827381550747905,0.7072297691654871
centralized_oracle,2,1.6435359063355819,2.9286577939637937,42,0.834630459357543,0.6847608560011076,0.8827825787373318,0.7393089695766363,0.5888855972993369,0.7117334530698025
centralized_oracle,3,1.5971993498180224,2.9506132020032965,42,0.8350653101302903,0.6862008031533267,0.881042749275071,0.7374322710027027,0.5907381773700672,0.713318793127933
centralized_oracle,4,1.599275650407957,2.9379873069701716,42,0.8477023871409594,0.7129634591900099,0.9000583771161704,0.7704125234091106,0.6047692795665044,0.7157099091545444
centralized_oracle,5,1.5912447696146759,2.9261963890166953,42,0.843851441113614,0.6959808614668463,0.8948077861674943,0.7484871033017628,0.5993819765201255,0.7151828551450589
centralized_oracle,6,1.5737294295559758,2.9395836429903284,42,0.8411449695109372,0.7049964847078808,0.8964954590259634,0.7600093488058736,0.6070448330452868,0.7176249659367698
centralized_oracle,7,1.5569752377012502,2.9465191990020685,42,0.8410550288387751,0.7012808576392641,0.893436880939393,0.7571099629937946,0.6131792776936821,0.7216012836828699
centralized_oracle,8,1.5492802892042243,2.929544017999433,42,0.8523099900157602,0.717486528891234,0.9109385317676784,0.7755368529846909,0.6229181225157409,0.7239455115244278
centralized_oracle,9,1.5281705091828885,2.919105564011261,42,0.8479053725111599,0.7068617899754158,0.9053592106648293,0.7670225925996419,0.6179891541781403,0.7186323038399308
centralized_oracle,10,1.5399000665415887,2.913095969997812,42,0.8399204561394823,0.7094654792837204,0.9001622118228015,0.77136521222989,0.6158280163527862,0.7182081879684736
centralized_oracle,11,1.5249170920123225,2.9421386290341616,42,0.8407303347608321,0.7101443483131642,0.9108074225067708,0.7789063839174242,0.6089812136102764,0.7167570460207886
centralized_oracle,12,1.5209526642509128,2.9382440770277753,42,0.8535477056877161,0.7196299836357904,0.9117893064607198,0.7799697001438327,0.6183579108747739,0.7238743127300806
centralized_oracle,13,1.5001008515772611,2.9261653320281766,42,0.8535468805439348,0.7220477908937528,0.9121989032758177,0.7851300161754076,0.628999467583454,0.7279567296268358
centralized_oracle,14,1.4847771227359772,2.913253009028267,42,0.8437144672459176,0.7078999243064412,0.8978878967969147,0.7681806498091178,0.6209252703918834,0.7241847416017205
centralized_oracle,15,1.5318303678346716,2.916634368011728,42,0.8580785701908558,0.7254466860903321,0.9127013292756453,0.7851768599210573,0.6199100159376549,0.7256525039490767
centralized_oracle,16,1.5008222994597062,2.9023446430219337,42,0.8600952215923625,0.723892887482543,0.9110763400419168,0.7758849426573333,0.6194703195972897,0.7270393462987781
centralized_oracle,17,1.4666092771550883,2.931306227983441,42,0.8599532968619781,0.7248278420655048,0.9141004660599275,0.7821905234626321,0.6291020017344247,0.7305223768256146
centralized_oracle,18,1.480045198875925,2.9213939890032634,42,0.8611183998811793,0.7248242897505128,0.9124927028604787,0.7762688007884097,0.6259972093056482,0.7286218278650476
centralized_oracle,19,1.4684841907542685,2.919695333985146,42,0.8434347435040556,0.7115698135276974,0.8970907142105213,0.7681295829358367,0.6103975989228431,0.7133001863272525
centralized_oracle,20,1.4665620547273885,2.9220890270080417,42,0.855559406226535,0.7206689378268936,0.9129649833003168,0.7803868769653616,0.6314449882765878,0.7313447848486704
centralized_oracle,21,1.4475081264972687,3.014893558982294,42,0.846786477543712,0.7106006450265825,0.9042806695185324,0.7763143940450126,0.6221456122263096,0.7269451113335402
centralized_oracle,22,1.4726138296334639,2.9175647160154767,42,0.8664034458004306,0.719153729015905,0.9170776989846208,0.7836114212493521,0.6182117994436505,0.7278987074614302
centralized_oracle,23,1.4563434113626894,15.888639668992255,42,0.8598105469878127,0.7226503545321576,0.9159627917659556,0.7851393702905298,0.630626928295867,0.7295664117118268
centralized_oracle,24,1.455416752981103,2.9185394759988412,42,0.8535435799688096,0.7160593184034407,0.9054759648971701,0.7727452443993914,0.6283261564534367,0.7313034672009378
centralized_oracle,25,1.4588452857473622,2.9258504859753884,42,0.8596174633429874,0.7077723948162243,0.9116237451312527,0.7757447790435444,0.6363477372830624,0.7330098343146567
centralized_oracle,26,1.4843758025894995,2.9250791799859144,42,0.863360315534982,0.7213130473629242,0.9141885102351353,0.7794275793043998,0.6317122173001293,0.731080993328283
centralized_oracle,27,1.4379565402217533,2.9165997589589097,42,0.8480472972415443,0.704123444080867,0.9026930033590768,0.7600847769308124,0.6307870966651089,0.729726857679285
centralized_oracle,28,1.4437550073084624,2.912644673953764,42,0.8620648397983348,0.7095017866643196,0.911498377881772,0.7636946869650808,0.6218049198578435,0.7235752864083174
centralized_oracle,29,1.432354302769122,2.9155152369639836,42,0.8567405995494715,0.7080628300932581,0.9102217373412573,0.7668896904521011,0.6346986053146668,0.7343132422478744
centralized_oracle,30,1.4429872520591902,2.9069766299799085,42,0.856482742117814,0.701285037770581,0.9088627946369613,0.7700783331183804,0.6299673444961992,0.729113085104096
centralized_oracle,31,1.4430319957111193,2.9230002660187893,42,0.8610804432672393,0.7239057726140361,0.9118495975806993,0.781507170913899,0.6350076518615907,0.7344243443927047
centralized_oracle,32,1.4160650312900542,2.908375460014213,42,0.8538975666509888,0.7121553981133417,0.9083000775171541,0.7691376450699053,0.6312249431323872,0.7303989144018496
centralized_oracle,33,1.4314236905263817,2.915631064970512,42,0.8614550585439513,0.7144090369186772,0.9140966380523098,0.7702040630244043,0.6327168202968422,0.7320240934551245
centralized_oracle,34,1.4571043203706326,2.9203466000035405,42,0.8574242311722817,0.7162818616233608,0.9115423999693759,0.7784460249809035,0.6374028397841444,0.7340309006811211
centralized_oracle,35,1.415578384762225,2.907523812027648,42,0.8581355051117657,0.7225565754486508,0.9116916922664676,0.7847330508114985,0.6340846219299722,0.733605584861299
centralized_oracle,36,1.4020113058712171,2.9315380299813114,42,0.8666452129283526,0.7148152825230196,0.9184088886336884,0.7752751171380744,0.6407603153091419,0.7361407544864256
centralized_oracle,37,1.4068752537602964,2.9312523379921913,42,0.8636433398519692,0.7286556775727325,0.9133339075344761,0.7841598052932449,0.6402074770079418,0.7367185250635222
centralized_oracle,38,1.4100728190463523,2.9255243230145425,42,0.852105354357997,0.7193571497828307,0.9060453810303082,0.7760934151555061,0.6347245236190485,0.7300795178417749
centralized_oracle,39,1.4002529986526655,2.923850799968932,42,0.8674885098728453,0.7303369612292403,0.9197707023436977,0.7845481297233523,0.6350761343530814,0.7335707392323658
centralized_oracle,40,1.4017804244290228,2.9115835170377977,42,0.8589441460174435,0.7207071030193773,0.915595303034653,0.7807475732738213,0.6400935078460575,0.7353132699926266
centralized_oracle,41,1.4104886990526448,2.923845559009351,42,0.8667401044632026,0.7333643765053967,0.9178911506033895,0.7902983863968561,0.6427844847751316,0.7380924608740113
centralized_oracle,42,1.3840618846209154,2.920039060001727,42,0.8490267429099521,0.6916099275753175,0.9030308250313418,0.7552705801754334,0.637768580302678,0.7362916581280139
centralized_oracle,43,1.3850634302781977,2.904685568995774,42,0.8630261323035537,0.7224234783730682,0.9107461743848869,0.7746443808487835,0.6379179149552033,0.7357116746393844
centralized_oracle,44,1.4109835912352022,2.919530635990668,42,0.8638397240719193,0.729641130372676,0.9149225306958361,0.7833002067978614,0.6319315719604072,0.7323736762162544
centralized_oracle,45,1.3769770852897478,2.9067360920016654,42,0.855380350025992,0.719345843609238,0.9080493430181925,0.7750791412984296,0.6379176058089149,0.7342929611949144
centralized_oracle,46,1.368190847531609,2.916268569009844,42,0.8637794885758843,0.7291689315808859,0.9182452413080302,0.7826203898744862,0.6431185362485736,0.7388379982184091
centralized_oracle,47,1.3798883464025415,2.9129190829698928,42,0.8659723081746995,0.7306621635762721,0.9140612289818456,0.790403491195061,0.6356186956047162,0.7346836426942779
centralized_oracle,48,1.37290540104327,2.932378071011044,42,0.8603163601257519,0.7254010883503599,0.9092054013187486,0.7780229607419381,0.6426932984308441,0.737146836193642
centralized_oracle,49,1.3630022484323252,2.92131096200319,42,0.8639832990898665,0.7228696421968298,0.9141109930808761,0.779804019242948,0.6464477447660987,0.7392814921411429
centralized_oracle,50,1.367608458062877,2.9278169510071166,42,0.8633182332021355,0.7160206970223251,0.9168250504818504,0.7775390387900033,0.6403055143185619,0.7352222107353291
centralized_oracle,51,1.3655528457268424,2.9122489300207235,42,0.8652449439314802,0.7216153868082135,0.9177054922339295,0.7797615046779244,0.643962251937319,0.737440837731627
centralized_oracle,52,1.3689489945121434,2.9309698040015064,42,0.8572030926388923,0.7100677720262247,0.9140468739532792,0.7638197022845595,0.6514420751467445,0.7424546593125453
centralized_oracle,53,1.388263556231623,2.938121627026703,42,0.8675495705126619,0.7264803163634517,0.9216760931354253,0.7770223867492128,0.6421353785693065,0.7333277978282888
centralized_oracle,54,1.345501495703407,2.9240985070355237,42,0.8689877961234745,0.7274630489058933,0.920106610012154,0.7856316831601465,0.6427599109821268,0.7377772980844555
centralized_oracle,55,1.3578985818054365,2.9189706559991464,42,0.8541942058403676,0.7141657044400566,0.9072684294641745,0.7779718457374851,0.6453713753541992,0.7389674426482753
centralized_oracle,56,1.3524849927943685,2.9014373419922777,42,0.8621861359341866,0.7270893105638301,0.9141578861741935,0.7849931832180456,0.640261860325198,0.7358230032947379
centralized_oracle,57,1.3431357280067775,2.91808980301721,42,0.8580488650147289,0.7178703119624497,0.9101432631850938,0.779405319618745,0.646090154460551,0.7406485115262804
centralized_oracle,58,1.339490921082704,2.9213460729806684,42,0.8567063560825474,0.7164577324525653,0.9138028384676486,0.7684274624810923,0.6503225067608638,0.7428895331670208
centralized_oracle,59,1.3411964950354203,2.921490021981299,42,0.8665255670800638,0.7222346065402072,0.9192941153952897,0.7776148607118083,0.6486284655716321,0.7411918798675261
centralized_oracle,60,1.331757186288419,2.9253018529852852,42,0.8638661286729211,0.7273163730039425,0.9174930378111452,0.7815943823926131,0.6473768939463469,0.7390083913929634
centralized_oracle,61,1.3171955188979274,2.914755331003107,42,0.8551567360612587,0.7229737218165161,0.9093594786253625,0.7814890341139902,0.6405091246429511,0.7329825233277157
centralized_oracle,62,1.360464929756911,2.9142185039818287,42,0.863906560718205,0.7309700493852108,0.9169561597427578,0.7828479287233479,0.6477874216392336,0.7405143580085107
centralized_oracle,63,1.3411602935065394,2.914140386041254,42,0.8640740649058098,0.7280525671482689,0.9116438421712459,0.7775701234479512,0.6433139218674845,0.7389084809962698
centralized_oracle,64,1.3295518981373828,2.932078085024841,42,0.8593509419016264,0.7103903704067808,0.9146679681892568,0.7712030282987684,0.6313148716759407,0.7292335567781778
centralized_oracle,65,1.3427526683911033,2.921387656009756,42,0.868022377899349,0.7336808090041244,0.9175073928397117,0.7907730787860003,0.6472672985436009,0.7398526508405936
centralized_oracle,66,1.3320013805575992,2.929107550997287,42,0.8649734716274311,0.7246966057965718,0.9199975117950485,0.784357245567074,0.6516355568985022,0.7431123202018755
centralized_oracle,67,1.3176440972348917,2.922647177998442,42,0.8654603064584003,0.7317618823714109,0.9186778061688343,0.7873099399579636,0.6520596612860252,0.7410481348705964
centralized_oracle,68,1.2997599498085353,2.9196505830041133,42,0.8535609079882169,0.7111708893457245,0.9083689816542734,0.7683689006469733,0.6527020146355612,0.7435485855505275
centralized_oracle,69,1.322068531876025,2.9341719719814137,42,0.8666938964114497,0.7351021448309146,0.9230580038854278,0.7902781272006904,0.6522417346133493,0.7429201176617477
centralized_oracle,70,1.2852862316629161,2.932159274001606,42,0.8636243615449991,0.7324774518792341,0.9166671451676188,0.78752799558482,0.6526970905110835,0.743868359628141
centralized_oracle,71,1.290287430908369,2.943888440961018,42,0.8696206814037346,0.7376061241027828,0.9218148584115683,0.7870131650098633,0.6536120545347284,0.7446924160599938
centralized_oracle,72,1.305145905069683,2.9277137860190123,42,0.8613791453160713,0.7257679250548693,0.9137310633248159,0.7796821400171642,0.6501492511477284,0.743252240870127
centralized_oracle,73,1.2983644226323003,2.9385808799997903,42,0.853518000511589,0.7136885795869229,0.9118400275616549,0.7746784625978126,0.6514561653251378,0.742699573435788
centralized_oracle,74,1.3021045324595077,2.933499285019934,42,0.8583203373187778,0.7245085621858107,0.908868536648388,0.7787145007980086,0.6550853096996064,0.7449429904126437
centralized_oracle,75,1.2693995509458624,2.9354844230110757,42,0.8562748058849254,0.7260644614628983,0.9074732278717236,0.7780604733958584,0.6553424355943587,0.7463671314951781
centralized_oracle,76,1.2648706047431282,2.9207344720489345,42,0.8554067546269938,0.7149604537681064,0.9036413922463704,0.7733621174281816,0.6543042044040515,0.7454933831137858
centralized_oracle,77,1.2553840235523555,2.9030143190175295,42,0.8661204214834434,0.724688428723379,0.915846994535519,0.7794609854840837,0.654102104132549,0.7438212707760469
centralized_oracle,78,1.2375191919181658,2.926849808951374,42,0.8699292851779422,0.7135595234557539,0.9228110973940837,0.7738581942813143,0.6545696774758446,0.7469188655237367
centralized_oracle,79,1.2487536684326503,2.9204696640372276,42,0.8579283940226584,0.6985924798636894,0.9082417004009838,0.7539518087941732,0.656150993838904,0.7452152570750932
centralized_oracle,80,1.2436200027880462,2.929041185998358,42,0.8605647284039244,0.7136304925281086,0.9126113710966285,0.769461442693851,0.650034444568438,0.7441084106160551
centralized_oracle,81,1.2196848783804022,2.9159261360182427,42,0.8625046414337698,0.7155117500933003,0.9142373173322615,0.7685609321680781,0.6527220743191932,0.7443628072704435
centralized_oracle,82,1.223878024712853,2.9125100140227005,42,0.8610136066209537,0.718156570862949,0.9047505574536093,0.7719153325300552,0.6574300872142308,0.7470415445352667
centralized_oracle,83,1.2656246918699017,2.914358645968605,42,0.8659388898515568,0.7257439178093477,0.9133444345554247,0.7805253997088712,0.6569666439089572,0.7463879724902595
centralized_oracle,84,1.2309687264587568,2.920650137006305,42,0.865114571214034,0.7179892044356975,0.9074693998641057,0.7676501137534615,0.6575928423517774,0.747804051926452
centralized_oracle,85,1.1911211558010266,2.9266336740111,42,0.8660280053799374,0.7277959653546007,0.9121290421367939,0.7795507890549844,0.6597478001663474,0.7497640064388418
centralized_oracle,86,1.2023129572039064,2.917934921977576,42,0.8682810604747878,0.7166341179845358,0.9128630625974945,0.7669500533736607,0.6560384118015121,0.7452452152454202
centralized_oracle,87,1.1926940964615864,2.9125204669544473,42,0.863143302720499,0.7291253295096873,0.914642129137837,0.7855170103360954,0.6533037698004069,0.7462246487750122
centralized_oracle,88,1.1686639342619025,2.9011745490133762,42,0.8580348375704465,0.7163113445731253,0.9069612318528514,0.7704850533116907,0.655053032883404,0.7443416389245834
centralized_oracle,89,1.1542491415272589,2.9132439859677106,42,0.8572336229588006,0.7043010000100972,0.9023944187648933,0.7558598702145227,0.6553950777061402,0.7455046903974915
centralized_oracle,90,1.171857060815977,2.906651579949539,42,0.8651863587230075,0.7167004163005138,0.9092934454939565,0.7643848152391031,0.6546199390742281,0.7462459635672731
centralized_oracle,91,1.1772137621174688,2.928282963053789,42,0.8492891386324067,0.7140706133568655,0.901323533633832,0.7674248845130623,0.6537834502119102,0.7453004787457504
centralized_oracle,92,1.1564164713672969,2.919625726004597,42,0.8598055961251247,0.7179948836596376,0.9079392877991826,0.7694008764892566,0.6547182302413056,0.7459479760521602
centralized_oracle,93,1.192711460331212,2.9163690810091794,42,0.862103621556056,0.6980853315739693,0.9102915984802811,0.7533470967732434,0.6553890509318299,0.746394567138917
centralized_oracle,1,1.8629514253657797,2.9174486430129036,123,0.825104999546171,0.6672646869787378,0.8704994592939241,0.7208746217172679,0.5763388128533572,0.7054950497245022
centralized_oracle,2,1.673453244437342,2.9283708470175043,123,0.8381728016106808,0.6976593637360208,0.8857703386829738,0.7472216168986013,0.5894863170240973,0.7116283521870017
centralized_oracle,3,1.615728682797888,2.911466494027991,123,0.8321723560330387,0.6868882741470898,0.8845118811786437,0.7480390222896951,0.5877501575890489,0.7084022423613466
centralized_oracle,4,1.5992093941439753,2.9181293740402907,123,0.8334670066259047,0.6981230443597478,0.8871608624501163,0.760154557155042,0.5931179856318259,0.712706115100239
centralized_oracle,5,1.5825301916702934,2.9078149799606763,123,0.8428587931447055,0.7029356470501614,0.896053324146115,0.7589543670080025,0.5975313309559583,0.7142760342003283
centralized_oracle,6,1.5749251085778941,2.9150900460081175,123,0.8377346502628082,0.6951813114842984,0.8858823079057928,0.7527184324114163,0.5912693896520377,0.7121708210737089
centralized_oracle,7,1.5775053703266642,2.924108528997749,123,0.847397083941877,0.7093835905265734,0.9008813987539835,0.7698456790019963,0.6081111743124371,0.717373787049323
centralized_oracle,8,1.5750302579091944,2.9225367410108447,123,0.8324727083694334,0.7022009173951324,0.8846745715023974,0.7612660394627536,0.5945127714740024,0.7111659256330136
centralized_oracle,9,1.5648932493251302,2.9360955999582075,123,0.8528001254218547,0.7101198909700819,0.9048223325964418,0.7676708553096577,0.6042175642857003,0.7188489000938841
centralized_oracle,10,1.5474621067876402,2.9250869840034284,123,0.8509031198686372,0.7102510177929964,0.9032260534198464,0.7710545782068086,0.6045276596926495,0.7168235058298701
centralized_oracle,11,1.5238085674202961,2.9290069669950753,123,0.8404910430642539,0.7013825402408865,0.8980429311054329,0.7627378800532552,0.6177179983449919,0.7202417325574462
centralized_oracle,12,1.5354669259942095,2.927934488048777,123,0.8424936670214784,0.7095212753611996,0.8970304230905418,0.7701956235175113,0.6055347311912702,0.7198371148334491
centralized_oracle,13,1.5178925086622652,2.9192042829818092,123,0.8523058642968537,0.7134705659047929,0.9111131846152375,0.7761740091167381,0.6123591907151184,0.7225600581352281
centralized_oracle,14,1.5063503897708395,2.900937906000763,123,0.848751970030778,0.7101208085110815,0.9062118993616797,0.768538596720367,0.6199001580482968,0.725275505813606
centralized_oracle,15,1.5062276111996693,2.9029077909654006,123,0.8536194931966894,0.716286067263968,0.907904835730623,0.7773858125727683,0.6170689936520025,0.7228164112932638
centralized_oracle,16,1.519569818092429,2.9155298749683425,123,0.84614616596942,0.7083975003702254,0.9038280076177351,0.7771307248196219,0.6196996374062138,0.723402256691811
centralized_oracle,17,1.4834827218366706,2.9118632150348276,123,0.8500235165977672,0.6992043053590452,0.9045524580593916,0.7605267201363551,0.6179731400180536,0.7248762012055744
centralized_oracle,18,1.4929928634477698,2.90987812000094,123,0.8370860872507035,0.7059699812918364,0.8928770348252993,0.763756700819497,0.6157882347079108,0.7234974042866964
centralized_oracle,19,1.481056825492693,2.9033993439516053,123,0.8542416516077926,0.7217029645573624,0.9085417204980238,0.7803773584655959,0.6203358669759423,0.7239426753289047
centralized_oracle,20,1.489646856162859,2.9047724790289067,123,0.859445008292695,0.7228440688463481,0.9133932416525509,0.7761802087815041,0.6136981316844405,0.7211915063835976
centralized_oracle,21,1.4847755196301833,2.8971159270149656,123,0.8420584036768407,0.7077149151573218,0.8992439684954973,0.7697883738462334,0.5976662875060653,0.7046426394451786
centralized_oracle,22,1.5000214874744415,2.9241761970333755,123,0.8418512925877335,0.7207945723308544,0.9002631755237192,0.7809915022055347,0.617691308884178,0.721829446162089
centralized_oracle,23,1.4797651200190833,2.915870452998206,123,0.8601661839575545,0.7304657474389177,0.9096810312652522,0.7870102173887441,0.6204584115823172,0.7242809842508358
centralized_oracle,24,1.4775270601977473,2.9028288690024056,123,0.8561394823047916,0.7218414297700316,0.910883025657221,0.7845034947667586,0.6233880022445176,0.7228240488024513
centralized_oracle,25,1.4619905689488286,2.9217298949952237,123,0.8576263913987013,0.7216716928666678,0.910421750739284,0.7799058825772034,0.6204789392100871,0.7218509950658974
centralized_oracle,26,1.4421911506549172,2.9098916910006665,123,0.8592378972035877,0.7223858022276466,0.9122218713215238,0.7785099180908196,0.6252997128165841,0.7255678072558291
centralized_oracle,27,1.4547830703465834,2.9264673630241305,123,0.8585406507083859,0.7229541696213948,0.9125893600528264,0.7810494912018234,0.6278388603300253,0.7267833032625327
