model,site,task,epoch,train_loss,elapsed_s,seed,val_auc_roc,val_auc_pr
local_B,B,binary,1,1.3057465783871003,29.672277797944844,42,0.6917727293514189,0.18946290834091803
local_B,B,binary,2,1.26324154947796,29.98953337687999,42,0.7046550629329003,0.19466946737832355
local_B,B,binary,3,1.2376850950021814,29.799256464466453,42,0.7060052583401368,0.2010577720959253
local_B,B,binary,4,1.2354696720403477,29.76930840779096,42,0.6932057657317257,0.19807578711605847
local_B,B,binary,5,1.2380974575550887,30.00999602023512,42,0.7086644160910905,0.21119410830992683
local_B,B,binary,6,1.224127139705811,29.69088557548821,42,0.705408503457205,0.20254826616088767
local_B,B,binary,7,1.2217003792306802,29.802403238601983,42,0.7107598054099279,0.21614957190511325
local_B,B,binary,8,1.2256815651037398,29.946134328842163,42,0.7022957820075404,0.21337623638295247
local_B,B,binary,9,1.228528587269957,29.713726834394038,42,0.7026170250569579,0.20954809239357752
local_B,B,binary,10,1.2228151942691663,29.994444724172354,42,0.7055816823239854,0.21028779285679688
local_B,B,binary,11,1.216971093285693,29.77851347718388,42,0.703148931576355,0.21492557089344344
local_B,B,binary,12,1.2149044273108462,29.879169677384198,42,0.7033858342685742,0.21516049414786265
local_B,B,binary,13,1.2132177583492585,30.002361331135035,42,0.7069116360454943,0.21802607786345954
local_B,B,binary,14,1.2128677259396463,29.691275157034397,42,0.6980052943253559,0.21024159407645363
local_B,B,binary,15,1.2101789471441813,29.875788652338088,42,0.7078510002016671,0.22327097437095922
local_B,B,binary,16,1.214706952554466,29.931314042769372,42,0.7049331986886386,0.22065093124063628
local_B,B,binary,17,1.2062593546226947,29.727937063202262,42,0.6915125862052163,0.18975742585926184
local_B,B,binary,18,1.2117557745345318,30.013892656192183,42,0.7011195151591484,0.2111698343767578
local_B,B,binary,19,1.2073223114448741,29.7871709195897,42,0.7087285147625613,0.2197405661111883
local_B,B,binary,20,1.1990664029208413,29.869676574133337,42,0.7038214053577494,0.21882970574790295
local_B,B,binary,21,1.204220478117031,30.061518403701484,42,0.7060794778544712,0.2124468854538703
local_B,B,binary,22,1.1959627116248555,29.825632614083588,42,0.7044054154755933,0.21644830941417648
local_B,B,binary,1,1.3309768614542745,30.01269214693457,123,0.6933898151334339,0.1783164582072494
local_B,B,binary,2,1.265194768018096,29.832426879554987,123,0.7056633987589597,0.19436104626858416
local_B,B,binary,3,1.252284831374231,30.1582676647231,123,0.7073262157568779,0.2064228055303282
local_B,B,binary,4,1.2438019646780334,30.05907241255045,123,0.7038176568974294,0.1964582806576374
local_B,B,binary,5,1.2335005302498812,29.88724631164223,123,0.7080189312239997,0.20837052595725272
local_B,B,binary,6,1.2287928538165824,30.00400835648179,123,0.7122614386140892,0.21559208780091205
local_B,B,binary,7,1.225912974481165,29.86410158313811,123,0.7050471518823642,0.20450640680327317
local_B,B,binary,8,1.2221686746517237,29.99014855455607,123,0.7074439174109234,0.20952856926426713
local_B,B,binary,9,1.2208827710064658,29.830523223616183,123,0.6981080021381217,0.20142849994780387
local_B,B,binary,10,1.2230599487785005,29.96353378891945,123,0.705016039661709,0.2164918392712063
local_B,B,binary,11,1.2163738975994778,29.900909359566867,123,0.7080091852271678,0.21293244102882303
local_B,B,binary,12,1.2161113750325503,29.968197653070092,123,0.7045767201122138,0.21731124938647536
local_B,B,binary,13,1.2196537776149972,30.072755481116474,123,0.7054437389842122,0.21313347805690566
local_B,B,binary,14,1.222756215473161,29.715609935112298,123,0.6815225646065879,0.19550687134707362
local_B,B,binary,15,1.217476568952964,30.161977944895625,123,0.7050688929522199,0.2069196090352034
local_B,B,binary,16,1.2151204891448473,29.963965254835784,123,0.7002386269839663,0.2016730419749415
local_B,B,binary,17,1.2090628749697747,29.963168943300843,123,0.7084275133988713,0.2224458986039078
local_B,B,binary,18,1.2034501774902762,30.200347669422626,123,0.6982020884921519,0.215797818667036
local_B,B,binary,19,1.2127550851254567,29.9405227471143,123,0.7093458861772527,0.22450290405948453
local_B,B,binary,20,1.2037394629777782,30.149754833430052,123,0.7054617315937479,0.21722836456395325
local_B,B,binary,21,1.206469130342024,30.130473068915308,123,0.7057683556479176,0.2132697128616412
local_B,B,binary,1,1.3257225034010671,29.893942748196423,7,0.7018223514691341,0.19056849329464165
local_B,B,binary,2,1.2616295077069832,30.286511918529868,7,0.7024232296584177,0.20055261427549972
local_B,B,binary,3,1.2404684765930594,29.899334074929357,7,0.7072250073282399,0.20627043426121866
local_B,B,binary,4,1.234073884295721,29.852613270282745,7,0.7025731680712147,0.19664054520946309
local_B,B,binary,5,1.2321251944033769,30.05942032393068,7,0.6959796263684691,0.185661907692883
local_B,B,binary,6,1.2252715162552186,29.767595800571144,7,0.7024359744235056,0.21129327344419507
local_B,B,binary,7,1.236108474705341,29.824121398851275,7,0.7018347213881897,0.211284632639694
local_B,B,binary,8,1.2254747467754532,29.812828817404807,7,0.7077700334587569,0.2143827148395163
local_B,B,binary,9,1.2219412859773984,29.91316231060773,7,0.7030694642175725,0.20330242986775604
local_B,B,binary,10,1.219688283048407,30.160388257354498,7,0.6982324510207433,0.204659537653274
local_B,B,binary,11,1.2157179219444303,29.97504606936127,7,0.7050239114283807,0.21060190392743366
local_B,B,binary,12,1.2142611061134478,29.79318047873676,7,0.701827974159614,0.20084105800301466
local_B,B,binary,13,1.2162888635249034,30.253809366375208,7,0.7003720721713556,0.21494368819419493
local_B,B,binary,14,1.2114322966467725,30.178355908952653,7,0.7010940256289728,0.21211356301175227
local_B,B,binary,15,1.2077940619774978,29.952679098583758,7,0.7076590790332871,0.21635557537776393
local_B,B,binary,16,1.2030779088500643,30.251913145184517,7,0.7001224247140487,0.21948396178053386
local_B,B,binary,17,1.2051893592315868,30.04550413135439,7,0.6983583992874927,0.2101077772737743
local_B,B,binary,18,1.2028125178639906,29.749073955230415,7,0.7018189778548461,0.20796282385887255
local_B,B,binary,19,1.2017844719608335,30.172757063061,7,0.6935228854747911,0.2143066633339611
local_B,B,binary,20,1.1973920107757958,29.879315544851124,7,0.6920354964198456,0.2047206567873205
local_B,B,binary,21,1.2041735755701135,30.193986875005066,7,0.6947658749168779,0.20209136956875812
local_B,B,binary,22,1.2052986939458081,30.083187948912382,7,0.7017657497183034,0.21300647702135003
local_B,B,binary,23,1.1948521389578382,30.04362813476473,7,0.697803627160144,0.20784247606988585
